,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
22791,Brand13,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,1.0374,1.0374,,
22808,Brand3,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,3525.5248,,
22905,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Not Available,Not Available,Not Available,Class1,MOTRX,1.5371,1.5371,,
22961,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,256.9666,,
23060,Brand18,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,MOTRX,20.5523,20.5523,,
23103,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,MOTRX,213.1196,213.1196,,
23210,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,3.8659,3.8659,,
23297,Brand18,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class1,TRX,14.7944,14.7944,,
23307,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,NBRX,,1.5551,,
23523,Brand14,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,13.1236,,
23542,Brand30,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,506.3304,,
23575,Brand25,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,TRX,0.0,0.0,,
23670,Brand8,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.9297,,
23759,Brand31,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,TRX,,1.2056,,
23875,Brand14,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,4.9593,,
23928,Brand30,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,TRX,,4.4469,,
23937,Brand37,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class3,NBRX,,0.0,,
23973,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
23992,Brand9,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,IV Market,Not Available,Not Available,Class1,TRX,4.5705,4.5705,,
24101,Brand41,1,PED,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class5,TRX,,44.8812,,
24137,Brand24,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,TRX,5662.9959,5662.9959,,
24192,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,MOTRX,10190.573,10190.573,,
24224,Brand4,1,PED,OTHERS,PHARMACY,2024-02-02,Indication10,Other Market,Other Market,Not Available,Class1,TRX,2.3271,2.3271,,
24319,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,26.4476,,
24343,Brand24,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,237.2366,,
24543,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,564.6339,,
24580,Brand17,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,8.1671,,
24632,Brand9,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,0.4488,,
24651,Brand39,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,736.0458,,
24692,Brand14,1,PED,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class2,TRX,,51.6552,,
24709,Brand39,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,,9.7219,,
24715,Brand11,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1.5417,,
24732,Brand21,1,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,15.1971,15.1971,,
24965,Brand14,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,198.9021,,
24969,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,52.9515,,
25046,Brand30,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,4.1282,,
25054,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,TRX,,41.8577,,
25086,Brand36,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,5.3078,,
25156,Brand22,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,15.1521,,
25171,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,17.3376,,
25188,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,3.13,,
25226,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,7.4052,,
25232,Brand22,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,205.1969,,
25258,Brand4,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,48.5342,,
25379,Brand19,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,262.5397,,
25383,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,MOTRX,,9.3769,,
25485,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,39.1782,,
25502,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,228.7364,,
25503,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,2496.6495,2496.6495,,
25595,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,NBRX,,4.4106,,
25629,Brand30,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,12.0725,,
25634,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,129.3111,,
25635,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,1824.1262,,
25658,Brand41,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class5,TRX,,83.5413,,
25667,Brand10,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,44.0049,,
25734,Brand21,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,12.3782,,
25786,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,NBRX,,9.3559,,
25861,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,197.4593,,
25915,Brand8,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,1.0056,,
25936,Brand39,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,,209.319,,
25962,Brand19,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,3.7054,,
26098,Brand42,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class5,NBRX,,4.4095,,
26127,Brand14,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,891.3054,,
26169,Brand22,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
26229,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,506.3304,,
26245,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,8.1822,,
26274,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,14.9356,,
26291,Brand20,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,114.1567,,
26300,Brand4,1,PED,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,TRX,,100.5872,,
26310,Brand15,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,NBRX,,20.8049,,
26324,Brand16,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,20.1577,,
26370,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,151.4016,,
26377,Brand22,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,98.2557,,
26388,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
26389,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,MOTRX,,9.3769,,
26439,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,5.0124,,
26506,Brand22,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class4,NBRX,19.1952,19.1952,,
26508,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
26649,Brand24,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,856.6297,,
26901,Brand10,1,PED,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,TRX,8.3264,8.3264,,
26905,Brand5,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class3,TRX,5.7681,5.7681,,
26927,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,NBRX,189.8416,189.8416,,
27085,Brand20,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,3.2563,,
27152,Brand22,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,48.2642,,
27160,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,MOTRX,,3.0672,,
27171,Brand26,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,2.7723,,
27221,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,0.8071,,
27225,Brand8,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
27234,Brand21,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,766.3749,,
27238,Brand11,1,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class1,TRX,129.9631,129.9631,,
27239,Brand11,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class1,NBRX,7.7856,7.7856,,
27301,Brand35,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,7.3564,,
27323,Brand41,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class5,TRX,,160.6132,,
27327,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,TRX,,3.0789,,
27340,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,NBRX,,1.5455,,
27526,Brand35,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,4.9914,,
27674,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class3,TRX,,1.6336,,
27685,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,NBRX,,0.0,,
27717,Brand9,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,576.336,,
27798,Brand23,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
27974,Brand29,1,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,1613.6626,,
28023,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,3384.5656,3384.5656,,
28034,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,MOTRX,,109.3407,,
28066,Brand8,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1.4091,,
28136,Brand42,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class5,MOTRX,,161.9656,,
28150,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class4,TRX,,8.4531,,
28290,Brand16,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,23.9634,,
28348,Brand35,2,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class4,TRX,,109.3229,,
28434,Brand37,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class3,MOTRX,,8.0768,,
28447,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class3,NBRX,,0.0,,
28709,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,IV Market,IV Market,Not Available,Class1,MOTRX,1.1442,1.1442,,
28763,Brand33,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
28789,Brand37,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class3,NBRX,,0.0,,
28790,Brand37,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class3,MOTRX,,1.0874,,
28880,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
28956,Brand39,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,,1.4613,,
28962,Brand37,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,1.7838,,
28974,Brand8,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
29207,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
29364,Brand39,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
29538,Brand23,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,IV Market,IV Market,Not Available,Class1,MOTRX,486.3073,486.3073,,
29547,Brand36,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,NBRX,,0.0,,
29651,Brand23,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,4.2031,,
29693,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class2,MOTRX,,55.7725,,
29726,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
29741,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,10.3831,,
30445,Brand5,2,PED,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class3,TRX,,1.9613,,
30451,Brand4,2,PED,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,TRX,,3.0672,,
30618,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
30619,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class4,MOTRX,,3.6168,,
30697,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Not Available,Not Available,Not Available,Class1,MOTRX,11.8497,,,
30770,Brand24,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class2,TRX,,2.5636,,
30965,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,1360.7116,,,
31018,Brand24,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,NBRX,1.0006,,,
31046,Brand19,2,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,TRX,221.3914,,,
31179,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class2,NBRX,0.838,,,
31263,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Oral Market,Oral Market,Not Available,Class2,TRX,334.3522,,,
31306,Brand11,2,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,2079.7135,,,
31350,Brand22,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,5.8823,,,
31367,Brand12,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,IV Market,Not Available,Not Available,Class1,MOTRX,42.8581,,,
31610,Brand13,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,7.3797,,,
31725,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,MOTRX,717.8127,,,
31931,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class3,NBRX,1.4086,,1.623376261,1.670930176
31961,Brand18,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,11.5465,,,
31990,Brand22,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class4,MOTRX,423.6098,,,
32072,Brand8,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
32076,Brand25,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,2.2862,,,
32099,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,IV Market,IV Market,Not Available,Class1,MOTRX,1.6726,,,
32114,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,IV Market,IV Market,Not Available,Class1,MOTRX,4.4696,,,
32253,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class3,NBRX,1.1531,,,
32268,Brand9,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,IV Market,Not Available,Not Available,Class1,NBRX,0.0,,,
32357,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,MOTRX,227.0733,,,
32366,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,TRX,85.7759,,,
32408,Brand17,2,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication2,IV Market,Not Available,Not Available,Class1,TRX,8.8392,,,
32428,Brand30,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,797.2741,797.2741,,
32467,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,443.9864,443.9864,,
32524,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,TRX,1026.3594,1026.3594,,
32533,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class3,NBRX,32.1897,32.1897,,
32696,Brand10,1,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,2.3303,2.3303,,
32760,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,115.623,115.623,,
32793,Brand5,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class3,TRX,470.4333,470.4333,,
32814,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,TRX,38.1973,38.1973,,
32827,Brand36,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,MOTRX,338.0853,338.0853,,
32889,Brand24,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,3568.2881,3568.2881,,
32922,Brand38,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class3,TRX,138.2378,138.2378,,
32935,Brand30,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,MOTRX,512.0333,,,
33024,Brand5,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class3,NBRX,10.9145,,,
33053,Brand6,1,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class3,TRX,2.9659,2.9659,,3.482292186
33157,Brand14,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,TRX,752.2322,,,
33184,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
33226,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,10.907,,,
33352,Brand17,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication2,IV Market,Not Available,Not Available,Class1,NBRX,17.6784,,,
33356,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class3,NBRX,1.3931,1.3931,,
33442,Brand12,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,IV Market,Not Available,Not Available,Class1,MOTRX,42.8581,42.8581,,
33468,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,NBRX,0.0,0.0,,
33469,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,MOTRX,1.8334,1.8334,,
33559,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class1,NBRX,2.8558,2.8558,,
33566,Brand4,1,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class1,TRX,81.833,81.833,,
33582,Brand10,1,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,17.5244,,,
33590,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
33615,Brand11,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class1,TRX,290.3536,290.3536,,
33644,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,71.243,,,
33768,Brand30,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class4,NBRX,12.6981,,,
33780,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Not Available,Not Available,Class1,NBRX,112.5029,112.5029,,
33783,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Other Market,Not Available,Not Available,Class1,MOTRX,2989.1254,2989.1254,,
33926,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,MOTRX,214.6935,,,
34012,Brand11,1,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class1,TRX,13.0622,13.0622,,
34029,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
34068,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
34121,Brand11,1,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class1,TRX,221.2624,,,
34245,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Not Available,Not Available,Class1,NBRX,30.6147,,,
34264,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
34271,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,17784.4218,,
